transaction_date,owner,ticker,asset_type,type,amount,senator,basis,SPY basis
04/14/2020,Joint,NKE,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",86,281
04/14/2020,Joint,WFC,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",31,281
04/14/2020,Joint,JPM,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",98,281
04/14/2020,Joint,BMY,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",60,281
04/14/2020,Joint,ORCL,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",53,281
04/14/2020,Joint,BX,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",48,281
04/14/2020,Joint,BRK-B,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",192,281
04/14/2020,Joint,COST,Stock,Sale (Partial),"$50,001 - $100,000","David A Perdue , Jr",308,281
04/14/2020,Joint,AMT,Stock,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",255,281
04/14/2020,Joint,MRK,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",78,281
04/14/2020,Joint,MA,Stock,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",271,281
04/14/2020,Joint,ANTM,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",249,281
04/14/2020,Joint,BK,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",36,281
04/14/2020,Joint,PYPL,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",109,281
04/14/2020,Joint,ABBV,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",81,281
04/14/2020,Joint,AMZN,Stock,Sale (Partial),"$50,001 - $100,000","David A Perdue , Jr",2240,281
04/14/2020,Joint,CSCO,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",42,281
04/14/2020,Joint,EXR,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",96,281
04/14/2020,Joint,BAX,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",87,281
04/14/2020,Joint,XOM,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",42,281
04/14/2020,Joint,SYK,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",175,281
04/14/2020,Joint,COP,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",34,281
04/14/2020,Joint,FOX,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",25,281
04/14/2020,Joint,CTSH,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",53,281
04/14/2020,Joint,ACA,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",41,281
04/14/2020,Joint,AAPL,Stock,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",70,281
04/14/2020,Joint,JNJ,Stock,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",145,281
04/14/2020,Joint,DIS,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",105,281
04/14/2020,Joint,CSCO,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",42,281
04/14/2020,Joint,MDLZ,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",53,281
04/14/2020,Joint,BOIVF,Stock,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",2,281
04/14/2020,Joint,VZ,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",57,281
04/14/2020,Joint,USB,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",36,281
04/14/2020,Joint,RL,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",76,281
04/14/2020,Joint,WFC,Stock,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",31,281
04/14/2020,Joint,MSFT,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",171,281
04/14/2020,Joint,STT,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",60,281
04/14/2020,Joint,UHAL,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",266,281
04/14/2020,Joint,KO,Stock,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",48,281
04/14/2020,Joint,BMY,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",60,281
04/14/2020,Joint,BAC,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",23,281
04/14/2020,Joint,ORCL,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",53,281
04/14/2020,Joint,VZ,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",57,281
04/14/2020,Joint,PYPL,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",109,281
04/14/2020,Joint,GOOGL,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",1252,281
04/14/2020,Joint,NKE,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",86,281
04/14/2020,Joint,MDLZ,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",53,281
04/14/2020,Joint,MO,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",41,281
04/14/2020,Joint,JPM,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",98,281
04/14/2020,Joint,KMI,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",15,281
04/14/2020,Joint,NFLX,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",405,281
04/14/2020,Joint,HCA,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",108,281
04/14/2020,Joint,V,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",173,281
04/14/2020,Joint,PRU,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",58,281
04/14/2020,Joint,EMR,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",51,281
04/14/2020,Joint,HON,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",140,281
04/14/2020,Joint,EXR,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",96,281
04/14/2020,Joint,CSCO,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",42,281
04/14/2020,Joint,COST,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",308,281
04/14/2020,Joint,DOW,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",35,281
04/14/2020,Joint,AAPL,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",70,281
04/14/2020,Joint,AMZN,Stock,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",2240,281
04/14/2020,Joint,DIS,Stock,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",105,281
04/14/2020,Joint,BAH,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",74,281
04/14/2020,Joint,MU,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",47,281
04/14/2020,Joint,M,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",6,281
04/14/2020,Joint,SU,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",16,281
04/14/2020,Joint,CVX,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",85,281
04/14/2020,Joint,GOOG,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",1258,281
04/14/2020,Joint,FHB,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",16,281
04/14/2020,Joint,BKNG,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",1450,281
04/14/2020,Joint,DIS,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",105,281
04/14/2020,Joint,FOXA,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",26,281
04/14/2020,Joint,HUN,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",16,281
04/14/2020,Joint,NWS,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",9,281
04/14/2020,Joint,MSM,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",59,281
04/14/2020,Joint,SYY,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",48,281
04/14/2020,Joint,PG,Stock,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",119,281
04/14/2020,Joint,EAF,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",8,281
04/15/2020,Joint,PAGP,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",6,278
04/15/2020,Joint,PSXP,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",39,278
04/15/2020,Joint,SUN,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",18,278
04/15/2020,Joint,KMI,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",14,278
04/15/2020,Joint,EPD,Stock,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",15,278
04/15/2020,Joint,LNG,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",38,278
04/15/2020,Joint,TRP,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",46,278
04/15/2020,Joint,MMP,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",37,278
04/15/2020,Joint,OKE,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",28,278
04/15/2020,Joint,PAA,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",6,278
04/15/2020,Joint,ENB,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",28,278
04/15/2020,Joint,PBA,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",19,278
04/15/2020,Joint,SHLX,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",11,278
04/15/2020,Joint,WMB,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",16,278
04/15/2020,Joint,TRGP,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",8,278
04/15/2020,Joint,MPLX,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",12,278
04/15/2020,Joint,ET,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",5,278
04/16/2020,Joint,DIS,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",102,278
04/16/2020,Joint,COP,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",31,278
04/16/2020,Joint,KO,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",47,278
04/16/2020,Joint,DD,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",35,278
04/16/2020,Joint,C,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",41,278
04/16/2020,Joint,HD,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",199,278
04/16/2020,Joint,GIS,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",60,278
04/16/2020,Joint,BMY,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",59,278
04/16/2020,Joint,CAT,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",111,278
04/16/2020,Joint,BP,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",22,278
04/16/2020,Joint,AAPL,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",71,278
04/16/2020,Joint,T,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",30,278
04/16/2020,Joint,AFL,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",35,278
04/16/2020,Joint,BX,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",46,278
04/16/2020,Joint,BA,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",138,278
04/16/2020,Joint,JNJ,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",148,278
04/16/2020,Joint,TFC,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",30,278
04/16/2020,Joint,SYY,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",45,278
04/16/2020,Joint,SOJA,Stock,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",25,278
04/16/2020,Joint,URI,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",100,278
04/16/2020,Joint,WFC,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",27,278
04/16/2020,Joint,VZ,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",57,278
04/16/2020,Joint,SO,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",55,278
04/16/2020,Joint,MRK,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",79,278
04/16/2020,Joint,PG,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",121,278
04/16/2020,Joint,JPM,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",88,278
04/16/2020,Joint,INTC,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",60,278
04/16/2020,Joint,LLY,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",153,278
04/16/2020,Joint,MSFT,Stock,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",175,278
04/16/2020,Joint,PYPL,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",108,278
04/16/2020,Joint,PM,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",75,278
04/16/2020,Joint,NKE,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",85,278
04/16/2020,Joint,NSC,Stock,Sale (Full),"$1,001 - $15,000","David A Perdue , Jr",152,278
04/17/2020,Spouse,AMAT,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,53,285
04/17/2020,Spouse,DIS,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,105,285
04/17/2020,Spouse,F,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,5,285
04/17/2020,Spouse,GOOG,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,1283,285
04/17/2020,Spouse,KLAC,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,160,285
04/17/2020,Spouse,SBUX,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,76,285
04/17/2020,Spouse,T,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,31,285
04/17/2020,Spouse,VMC,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,110,285
05/01/2020,Spouse,AMZN,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,2310,285
04/24/2020,Spouse,TEL,Stock,Sale (Full),"$1,001 - $15,000",Ron L Wyden,69,281
04/24/2020,Spouse,JCI,Stock,Sale (Full),"$1,001 - $15,000",Ron L Wyden,27,281
04/24/2020,Spouse,C,Stock,Sale (Full),"$1,001 - $15,000",Ron L Wyden,42,281
04/24/2020,Spouse,CRWD,Stock,Sale (Full),"$50,001 - $100,000",Ron L Wyden,71,281
04/23/2020,Spouse,PYPL,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,116,280
04/21/2020,Spouse,CRWD,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,67,274
04/21/2020,Spouse,NVDA,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,68,274
04/17/2020,Spouse,AMZN,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,2365,285
04/08/2020,Spouse,UPS,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,97,270
04/08/2020,Spouse,GOOG,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,1206,270
04/06/2020,Spouse,QSR,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,36,259
04/06/2020,Spouse,GRUB,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,16,259
04/06/2020,Spouse,GOOG,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,1162,259
04/06/2020,Spouse,IRBT,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,41,259
04/06/2020,Spouse,SBUX,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,66,259
04/06/2020,Spouse,RDS-B,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,35,259
04/06/2020,Spouse,T,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,28,259
04/06/2020,Spouse,CSCO,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,40,259
04/06/2020,Spouse,AMAT,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,45,259
04/06/2020,Spouse,KLAC,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,141,259
04/06/2020,Spouse,AVGO,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,248,259
04/06/2020,Spouse,XOM,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,40,259
04/06/2020,Spouse,V,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,164,259
04/06/2020,Spouse,CAT,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,120,259
04/06/2020,Spouse,AMZN,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,1965,259
04/06/2020,Spouse,DIS,Stock,Purchase,"$50,001 - $100,000",Ron L Wyden,97,259
04/14/2020,Spouse,PYPL,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,109,281
04/14/2020,Spouse,CVS,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,60,281
04/14/2020,Spouse,SWKS,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,94,281
04/14/2020,Spouse,CEF,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,15,281
04/14/2020,Spouse,DIS,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,105,281
04/02/2020,Spouse,CEF,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,14,248
04/02/2020,Spouse,FPL,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,3,248
04/02/2020,Spouse,DRI,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,45,248
04/02/2020,Spouse,QCOM,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,66,248
04/02/2020,Spouse,RMD,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,145,248
04/02/2020,Spouse,SBUX,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,65,248
04/02/2020,Spouse,ARCC,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,9,248
04/02/2020,Spouse,CVS,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,55,248
04/02/2020,Spouse,DGX,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,77,248
04/02/2020,Spouse,ARE,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,130,248
04/02/2020,Spouse,LGI,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,11,248
04/02/2020,Spouse,PKG,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,84,248
04/02/2020,Spouse,MET,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,27,248
04/02/2020,Spouse,GLAD,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,5,248
04/02/2020,Spouse,SWKS,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,82,248
04/02/2020,Spouse,CEF,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,14,248
04/02/2020,Spouse,CFG,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,17,248
04/02/2020,Spouse,TCEHY,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,48,248
04/02/2020,Spouse,MPC,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,22,248
04/02/2020,Spouse,KNX,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,30,248
04/02/2020,Spouse,CB,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,105,248
04/02/2020,Spouse,IRM,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,21,248
04/02/2020,Spouse,HPQ,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,15,248
04/02/2020,Spouse,LHX,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,179,248
04/02/2020,Spouse,APO,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,30,248
04/02/2020,Spouse,CAG,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,29,248
04/02/2020,Spouse,GLW,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,18,248
04/02/2020,Spouse,FITB,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,13,248
04/02/2020,Spouse,MSFT,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,153,248
04/02/2020,Spouse,NVO,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,58,248
04/02/2020,Spouse,PEP,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,120,248
04/02/2020,Spouse,TSN,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,54,248
04/09/2020,Spouse,NFLX,Stock,Purchase,"$50,001 - $100,000",Pat Roberts,369,278
04/08/2020,Spouse,AAPL,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,66,270
04/07/2020,Spouse,DIS,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,103,269
04/07/2020,Spouse,TJX,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,48,269
04/06/2020,Spouse,NFLX,Stock,Sale (Full),"$100,001 - $250,000",Pat Roberts,371,259
04/28/2020,Spouse,TJX,Stock,Sale (Full),"$1,001 - $15,000",Pat Roberts,49,288
04/30/2020,Spouse,MSFT,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,178,291
04/29/2020,Spouse,MA,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,280,292
04/29/2020,Spouse,BYND,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,100,292
04/27/2020,Spouse,MSFT,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,175,286
04/27/2020,Spouse,AAPL,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,70,286
04/24/2020,Spouse,NVDA,Stock,Sale (Full),"$50,001 - $100,000",Pat Roberts,71,281
04/15/2020,Spouse,NFLX,Stock,Sale (Full),"$50,001 - $100,000",Pat Roberts,421,278
04/08/2020,Spouse,AAPL,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,66,270
04/24/2020,Spouse,AMZN,Stock,Sale (Full),"$50,001 - $100,000",Pat Roberts,2407,281
04/24/2020,Spouse,AMZN,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2407,281
04/17/2020,Spouse,NFLX,Stock,Sale (Full),"$15,001 - $50,000",Pat Roberts,425,285
04/16/2020,Spouse,NFLX,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,439,278
04/15/2020,Spouse,NFLX,Stock,Sale (Full),"$100,001 - $250,000",Pat Roberts,421,278
01/17/2020,Spouse,PRU,Stock,Sale (Partial),"$100,001 - $250,000",Kelly Loeffler,96,331
04/13/2020,Self,TEX,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,16,275
04/14/2020,Self,TGT,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,108,281
04/14/2020,Self,STT,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,60,281
04/14/2020,Self,SLB,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,15,281
04/14/2020,Self,KHC,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,28,281
04/14/2020,Self,HIG,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,41,281
04/14/2020,Self,DFS,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,36,281
04/14/2020,Self,CL,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,72,281
04/14/2020,Self,CAT,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,116,281
04/14/2020,Self,BMY,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,60,281
04/14/2020,Self,BP,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,24,281
04/13/2020,Self,AMAT,Stock,Sale (Full),"$1,001 - $15,000",Kelly Loeffler,49,275
04/13/2020,Self,AA,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,7,275
04/14/2020,Spouse,STT,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,60,281
04/14/2020,Spouse,PRU,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,58,281
04/14/2020,Spouse,K,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,63,281
04/14/2020,Spouse,HIG,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,41,281
04/14/2020,Spouse,GS,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,179,281
04/14/2020,Spouse,XOM,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,42,281
04/14/2020,Spouse,DD,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,39,281
04/14/2020,Spouse,DOW,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,35,281
04/14/2020,Spouse,DFS,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,36,281
04/14/2020,Spouse,DAL,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,24,281
04/14/2020,Spouse,CVS,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,60,281
04/14/2020,Spouse,CTVA,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,26,281
04/14/2020,Spouse,CL,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,72,281
04/14/2020,Spouse,CTSH,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,53,281
04/14/2020,Spouse,CSCO,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,42,281
04/14/2020,Spouse,BMY,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,60,281
04/14/2020,Spouse,BP,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,24,281
04/14/2020,Spouse,AIG,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,26,281
04/14/2020,Spouse,MO,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,41,281
04/14/2020,Spouse,ABBV,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,81,281
04/07/2020,Joint,AGCO,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,49,269
04/07/2020,Joint,MPC,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,23,269
04/07/2020,Joint,EBAY,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,31,269
04/07/2020,Joint,VZ,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,57,269
04/07/2020,Joint,CTXS,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,146,269
04/07/2020,Joint,PFE,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,32,269
04/07/2020,Joint,AAPL,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,66,269
04/07/2020,Joint,C,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,43,269
04/07/2020,Joint,PRU,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,52,269
04/07/2020,Joint,CSCO,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,41,269
04/07/2020,Joint,WMT,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,123,269
04/07/2020,Joint,PYPL,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,102,269
04/07/2020,Joint,KMI,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,14,269
