transaction_date,owner,ticker,asset_type,type,amount,senator,basis,SPY basis
06/24/2021,Spouse,TMO,Stock,Purchase,"$1,001 - $15,000","Angus S King, Jr.",495,425
06/24/2021,Spouse,ADBE,Stock,Purchase,"$1,001 - $15,000","Angus S King, Jr.",577,425
03/29/2021,Joint,ALGN,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,517,394
01/21/2021,Joint,CLF,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,16,384
01/15/2021,Joint,SDOG,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,46,375
01/13/2021,Joint,TDY,Stock,Sale (Full),"$50,001 - $100,000",Thomas H Tuberville,385,379
01/06/2021,Joint,AA,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,24,372
01/06/2021,Joint,AA,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,24,372
01/04/2021,Joint,WY,Stock,Sale (Full),"$50,001 - $100,000",Thomas H Tuberville,33,371
01/04/2021,Joint,ONEQ,Stock,Sale (Full),"$100,001 - $250,000",Thomas H Tuberville,49,371
01/04/2021,Joint,DG,Stock,Sale (Full),"$50,001 - $100,000",Thomas H Tuberville,209,371
02/16/2021,Joint,OXY,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,26,392
02/10/2021,Joint,ECOM,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,25,390
02/10/2021,Joint,ECOM,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,25,390
02/10/2021,Joint,ECOM,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,25,390
02/03/2021,Joint,BRK-B,Stock,Purchase,"$50,001 - $100,000",Thomas H Tuberville,232,382
03/29/2021,Joint,WST,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,279,394
03/29/2021,Joint,WAL,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,93,394
03/29/2021,Joint,WAT,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,281,394
03/29/2021,Joint,VMW,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,153,394
03/29/2021,Joint,MMM,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,194,394
03/29/2021,Joint,TER,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,115,394
03/29/2021,Joint,SNA,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,229,394
03/29/2021,Joint,SIVB,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,476,394
03/29/2021,Joint,SWKS,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,179,394
03/29/2021,Joint,SEIC,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,61,394
03/29/2021,Joint,ROK,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,272,394
03/29/2021,Joint,REGN,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,478,394
03/29/2021,Joint,DGX,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,128,394
03/29/2021,Joint,QCOM,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,131,394
03/29/2021,Joint,PYPL,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,238,394
03/29/2021,Joint,ODFL,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,235,394
03/29/2021,Joint,NDSN,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,203,394
03/29/2021,Joint,NTES,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,102,394
03/29/2021,Joint,MRK,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,74,394
03/29/2021,Joint,JNJ,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,165,394
03/29/2021,Joint,INTU,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,375,394
03/29/2021,Joint,IDXX,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,477,394
03/29/2021,Joint,IEX,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,206,394
03/29/2021,Joint,IEX,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,206,394
03/29/2021,Joint,HON,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,218,394
03/29/2021,Joint,HSY,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,160,394
03/29/2021,Joint,GGG,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,72,394
03/29/2021,Joint,GNTX,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,35,394
03/29/2021,Joint,FTNT,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,183,394
03/29/2021,Joint,EA,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,133,394
03/29/2021,Joint,EBAY,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,60,394
03/29/2021,Joint,EW,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,82,394
03/29/2021,Joint,DECK,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,327,394
03/29/2021,Joint,CNR,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,13,394
03/29/2021,Joint,CL,Stock,Sale (Full),"$1,001 - $15,000",Thomas H Tuberville,79,394
03/29/2021,Joint,CLX,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,193,394
03/29/2021,Joint,CHE,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,470,394
03/29/2021,Joint,CE,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,152,394
03/29/2021,Joint,BIO,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,570,394
03/29/2021,Joint,BHP,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,69,394
03/29/2021,Joint,ATHM,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,95,394
03/29/2021,Joint,AME,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,127,394
03/29/2021,Joint,GOOGL,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,2030,394
03/16/2021,Joint,AA,Stock,Purchase,"$1,001 - $15,000",Thomas H Tuberville,30,396
03/16/2021,Joint,AA,Stock,Purchase,"$100,001 - $250,000",Thomas H Tuberville,30,396
03/12/2021,Joint,CLF,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,17,392
04/19/2021,Joint,CLF,Stock,Purchase,"$50,001 - $100,000",Thomas H Tuberville,17,415
04/19/2021,Joint,AA,Stock,Sale (Full),"$50,001 - $100,000",Thomas H Tuberville,35,415
04/16/2021,Joint,ECOM,Stock,Purchase,"$15,001 - $50,000",Thomas H Tuberville,25,417
04/14/2021,Joint,FCX,Stock,Sale (Full),"$15,001 - $50,000",Thomas H Tuberville,35,412
04/07/2021,Joint,OXY,Stock,Purchase,"$50,001 - $100,000",Thomas H Tuberville,25,406
