senator,ticker,owner,buybasis,sellbasis,totalamount,earning_rate,first_buy,last_sell,open_state
"David A Perdue , Jr",AMT,Joint,263.0,249.6024096385542,83000.0,-0.05094140821842507,2021-11-15,2019-05-15,-1.0
"David A Perdue , Jr",AMZN,Joint,972.3333333333334,2240.0,123750.0,1.303736715803908,2017-02-08,2020-04-14,0.0
"David A Perdue , Jr",ANTM,Joint,238.0,246.03092783505156,28250.0,0.03374339426492251,2019-09-30,2015-06-11,0.0
"David A Perdue , Jr",AR,Joint,36.0,19.0,8000.0,-0.4722222222222222,2015-01-14,2021-11-15,1.0
"David A Perdue , Jr",AXP,Joint,182.0,54.0,32500.0,-0.7032967032967034,2021-11-15,2016-02-25,-1.0
"David A Perdue , Jr",AXTA,Joint,25.4,21.848911651728553,395250.0,-0.13980662788470258,2018-02-06,2017-11-30,0.0
"David A Perdue , Jr",BA,Joint,230.0,150.8395061728395,40500.0,-0.34417606011808916,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",BAC,Joint,16.911190053285967,25.661016949152543,303000.0,0.5173986495507702,2016-01-20,2016-12-12,0.0
"David A Perdue , Jr",BAH,Joint,71.0,74.0,32500.0,0.04225352112676056,2019-12-31,2020-04-14,0.0
"David A Perdue , Jr",BAX,Joint,38.83391003460208,60.86522911051213,165000.0,0.5673216798483477,2015-08-04,2016-11-08,0.0
"David A Perdue , Jr",BK,Joint,45.0,38.0,32000.0,-0.15555555555555556,2019-09-30,2015-09-02,0.0
"David A Perdue , Jr",BKNG,Joint,1768.0,1550.7407407407406,36500.0,-0.12288419641360823,2019-03-26,2019-09-30,0.0
"David A Perdue , Jr",BMY,Joint,48.45360824742268,55.30331753554503,77000.0,0.1413663406272059,2017-03-22,2019-08-15,0.0
"David A Perdue , Jr",BOIVF,Joint,3.3636363636363638,2.0,125500.0,-0.40540540540540543,2019-01-31,2020-04-14,0.0
"David A Perdue , Jr",BP,Joint,27.0,22.0,8000.0,-0.18518518518518517,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",BRK-B,Joint,201.55479452054794,192.37122969837586,180750.0,-0.04556361382530073,2020-03-05,2020-04-14,0.0
"David A Perdue , Jr",BWXT,Joint,40.053412462908014,51.08064516129032,192750.0,0.27531318857273945,2019-01-03,2019-07-09,0.0
"David A Perdue , Jr",BX,Joint,143.0,47.60493827160494,40500.0,-0.6670983337650005,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",C,Joint,69.0,41.0,8000.0,-0.4057971014492754,2018-04-24,2020-04-16,0.0
"David A Perdue , Jr",CAIFX,Joint,69.0,54.0,8000.0,-0.21739130434782608,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",CAT,Joint,116.0,85.32098765432099,24250.0,-0.26447424435930184,2018-10-24,2020-04-16,0.0
"David A Perdue , Jr",CDLX,Joint,2.7611940298507465,86.0,3175000.0,30.145945945945947,2020-03-18,2020-01-23,0.0
"David A Perdue , Jr",CEQP,Joint,34.0,4.0,8000.0,-0.8823529411764706,2019-05-28,2020-04-07,0.0
"David A Perdue , Jr",CHRW,Joint,95.0,80.66666666666667,24000.0,-0.15087719298245608,2021-11-15,2017-12-15,-1.0
"David A Perdue , Jr",CIT,Joint,45.4,42.714285714285715,48000.0,-0.05915670232850844,2015-02-05,2015-08-31,0.0
"David A Perdue , Jr",CL,Joint,78.0,69.0,32500.0,-0.11538461538461539,2021-11-15,2015-05-20,-1.0
"David A Perdue , Jr",CLX,Joint,116.0,142.5,20000.0,0.22844827586206898,2018-04-20,2015-08-03,0.0
"David A Perdue , Jr",COP,Joint,58.60493827160494,48.64341085271318,52500.0,-0.16997761131877653,2018-01-16,2017-12-13,0.0
"David A Perdue , Jr",COST,Joint,163.89380530973452,308.0,82000.0,0.8792656587473001,2017-03-22,2020-04-14,0.0
"David A Perdue , Jr",CRMT,Joint,126.0,61.333333333333336,72000.0,-0.5132275132275131,2021-11-15,2018-06-26,-1.0
"David A Perdue , Jr",CSCO,Joint,57.0,43.901234567901234,162000.0,-0.2298029023175222,2021-11-15,2017-12-21,-1.0
"David A Perdue , Jr",CTSH,Joint,60.51162790697674,56.5,64750.0,-0.06629515757109912,2020-03-17,2019-10-11,0.0
"David A Perdue , Jr",CTVA,Joint,48.0,25.0,16000.0,-0.4791666666666667,2021-11-15,2019-06-17,-1.0
"David A Perdue , Jr",CVX,Joint,108.0,85.0,52750.0,-0.21296296296296297,2017-03-22,2020-04-14,0.0
"David A Perdue , Jr",CZR,Joint,28.023391812865498,47.088235294117645,264250.0,0.6803189138760678,2018-01-03,2019-09-05,0.0
"David A Perdue , Jr",DAL,Joint,52.51546391752577,24.0,28250.0,-0.5429917550058893,2020-02-24,2020-04-14,0.0
"David A Perdue , Jr",DCP,Joint,27.0,19.0,12000.0,-0.2962962962962963,2019-09-19,2020-02-19,0.0
"David A Perdue , Jr",DD,Joint,50.119617224880386,43.84848484848485,101750.0,-0.12512330946698488,2020-01-24,2019-07-15,0.0
"David A Perdue , Jr",DE,Joint,361.0,88.33333333333333,24000.0,-0.7553093259464451,2021-11-15,2015-08-25,-1.0
"David A Perdue , Jr",DIS,Joint,103.62287480680062,111.81192052980133,350500.0,0.07902739369341708,2020-02-26,2019-10-29,0.0
"David A Perdue , Jr",DISCA,Joint,25.84265402843602,26.24470338983051,499750.0,0.015557587891402077,2018-01-16,2017-12-13,0.0
"David A Perdue , Jr",DOW,Joint,47.80821917808219,41.2962962962963,77000.0,-0.1362092751777565,2020-03-26,2019-12-31,0.0
"David A Perdue , Jr",DUK,Joint,83.0,78.0,20250.0,-0.060240963855421686,2017-12-26,2018-04-17,0.0
"David A Perdue , Jr",DVN,Joint,27.153846153846153,21.212389380530972,316750.0,-0.21880718995211718,2019-01-04,2018-11-26,0.0
"David A Perdue , Jr",EAF,Joint,9.4,10.0,28000.0,0.0638297872340425,2020-03-10,2019-09-30,0.0
"David A Perdue , Jr",EBAY,Joint,74.0,27.19753086419753,40500.0,-0.6324657991324658,2021-11-15,2015-07-21,-1.0
"David A Perdue , Jr",EMR,Joint,59.0,67.04938271604938,40500.0,0.13643021552626067,2017-08-09,2020-04-14,0.0
"David A Perdue , Jr",ENB,Joint,38.93167701863354,37.92134831460674,84750.0,-0.025951327592264754,2020-02-19,2020-04-15,0.0
"David A Perdue , Jr",ENTG,Joint,28.666666666666668,35.847290640394085,164250.0,0.2504868828044448,2019-07-12,2019-12-16,0.0
"David A Perdue , Jr",EPD,Joint,23.31958762886598,19.620071684587813,94000.0,-0.15864414084658798,2016-02-01,2016-12-13,0.0
"David A Perdue , Jr",ET,Joint,13.75,8.472868217054264,48250.0,-0.38379140239605347,2019-02-01,2020-04-15,0.0
"David A Perdue , Jr",ETP,Joint,18.393700787401574,19.0,115500.0,0.03296232876712333,2016-02-22,2016-12-12,0.0
"David A Perdue , Jr",EXR,Joint,77.39336492890995,93.66079295154185,109500.0,0.2101915072122065,2016-08-16,2019-08-13,0.0
"David A Perdue , Jr",FDX,Joint,169.79854620976116,134.0,415750.0,-0.21082952127008975,2019-03-28,2019-10-11,0.0
"David A Perdue , Jr",FE,Joint,33.0,32.0,8000.0,-0.030303030303030304,2016-05-05,2016-08-16,0.0
"David A Perdue , Jr",FEYE,Joint,13.86763372620127,12.581497797356828,502750.0,-0.09274371924133228,2018-01-16,2017-12-13,0.0
"David A Perdue , Jr",FHB,Joint,18.0,16.0,8000.0,-0.1111111111111111,2020-03-17,2020-04-14,0.0
"David A Perdue , Jr",FRIAX,Joint,2.0,1.0,32500.0,-0.5,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",GE,Joint,107.0,205.24483775811208,169500.0,0.9181760538141316,2021-11-15,2017-08-09,-1.0
"David A Perdue , Jr",GEL,Joint,12.0,27.428571428571427,56000.0,1.2857142857142856,2021-11-15,2016-11-11,-1.0
"David A Perdue , Jr",GIS,Joint,44.0,60.0,8000.0,0.36363636363636365,2018-04-24,2020-04-16,0.0
"David A Perdue , Jr",GLW,Joint,24.334277620396602,23.899843505477307,248000.0,-0.0178527639774751,2020-01-29,2018-12-12,0.0
"David A Perdue , Jr",GM,Joint,34.7636815920398,29.98517298187809,252250.0,-0.13745692030661955,2016-02-26,2017-11-13,0.0
"David A Perdue , Jr",GOOG,Joint,1177.4197530864199,1258.0,36500.0,0.0684379947782868,2020-03-19,2020-04-14,0.0
"David A Perdue , Jr",GOOGL,Joint,1065.0,1252.0,32500.0,0.1755868544600939,2017-12-26,2020-04-14,0.0
